% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 15:11
% Table:              Table 1 - Eval_German
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
52                                                1.417718287804153-9.385805412017877E-12i          1.417718287804153                                 538.8                                             1.6532640526449243E7
52                                                1.4340827286281566                                1.4340827286281566                                538.8                                             1.6723473514841206E7
52                                                1.4372917753700454-3.856943067251997E-15i         1.4372917753700454                                538.8                                             1.6760895629426744E7
53                                                1.3955246890892081-2.2807503160332046E-6i         1.3955246890892081                                543.1999999999999                                 1.6142010718504552E7
53                                                1.413790422870583-7.903875673577464E-14i          1.413790422870583                                 543.1999999999999                                 1.635329015539702E7
53                                                1.4168273116748025-1.0627441267185215E-11i        1.4168273116748025                                543.1999999999999                                 1.638841779735985E7
53                                                1.4334121837991776                                1.4334121837991776                                543.1999999999999                                 1.6580254735602349E7
53                                                1.4366920914230332-4.40580762483125E-15i          1.4366920914230332                                543.1999999999999                                 1.6618193372183934E7
54                                                1.3944557329324496-2.449563052956039E-6i          1.3944557329324496                                547.6                                             1.6000043412479013E7
54                                                1.412824387366974-9.040528356813658E-14i          1.412824387366974                                 547.6                                             1.6210806121857505E7
54                                                1.4159334923802935-1.2026225849533288E-11i        1.4159334923802935                                547.6                                             1.6246480122840282E7
54                                                1.4327394641340236                                1.4327394641340236                                547.6                                             1.6439312545769265E7
54                                                1.436091131905215-4.940619936781994E-15i          1.436091131905215                                 547.6                                             1.6477769721982736E7
55                                                1.3933866432273352-2.626773577377926E-6i          1.3933866432273352                                552                                               1.5860337833236005E7
