% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 16:29
% Table:              Table 1 - Global Evaluation 1
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
30                                                1.445303706628538                                 1.445303706628538                                 441.99999999999994                                2.0545500031449374E7
30                                                1.4471785994191608-3.07267950573413E-16i          1.4471785994191608                                441.99999999999994                                2.0572152291256115E7
31                                                1.4157771283584293-2.988848104630752E-7i          1.4157771283584293                                446.40000000000003                                1.992739706797175E7
31                                                1.4309087414821242-4.941170794738517E-15i         1.4309087414821242                                446.40000000000003                                2.0140378092283413E7
31                                                1.432625746325365-6.245725343358976E-13i          1.432625746325365                                 446.40000000000003                                2.016454534049893E7
31                                                1.4445619651470194                                1.4445619651470194                                446.40000000000003                                2.0332550436205693E7
31                                                1.4464885740280637-3.5625438263981225E-16i        1.4464885740280637                                446.40000000000003                                2.0359667910699554E7
32                                                1.4146173199402248-3.3650392314964554E-7i         1.4146173199402248                                450.8                                             1.9716731943057194E7
32                                                1.4299214354818475-5.620567639544122E-15i         1.4299214354818475                                450.8                                             1.9930038495653696E7
32                                                1.4316883268377432-7.181930522161866E-13i         1.4316883268377432                                450.8                                             1.995466517224364E7
32                                                1.4438275745744955                                1.4438275745744955                                450.8                                             2.0123860254363816E7
32                                                1.445806737873201-3.4008639919293325E-16i         1.445806737873201                                 450.8                                             2.015144554664184E7
33                                                1.4134648615897505-3.778749535135415E-7i          1.4134648615897505                                455.19999999999993                                1.9510240884348303E7
33                                                1.428938791683277-6.320807605679859E-15i          1.428938791683277                                 455.19999999999993                                1.9723829571096916E7
33                                                1.4307565005875167-8.251473171174612E-13i         1.4307565005875167                                455.19999999999993                                1.9748919645525407E7
33                                                1.4430997774918046                                1.4430997774918046                                455.19999999999993                                1.9919295515664842E7
33                                                1.4451323370418983-4.207836820034118E-16i         1.4451323370418983                                455.19999999999993                                1.994735120173935E7
34                                                1.4123194133109065-4.2323972217413263E-7i         1.4123194133109065                                459.6                                             1.9307799361966014E7
34                                                1.4279603960785565-7.166513320138167E-15i         1.4279603960785565                                459.6                                             1.9521627023226995E7
34                                                1.429829861885836-9.471801435723667E-13i          1.429829861885836                                 459.6                                             1.954718446468168E7
34                                                1.4423781513288383                                1.4423781513288383                                459.6                                             1.9718731957846407E7
34                                                1.4444649522363056-4.503481318555277E-16i         1.4444649522363056                                459.6                                             1.9747260584480017E7
35                                                1.4111808869710913-4.728402185158697E-7i          1.4111808869710913                                464                                               1.9109290980149604E7
35                                                1.4269860909019343-8.160275269499016E-15i         1.4269860909019343                                464                                               1.932331474117385E7
35                                                1.4289082610731056-1.0865340436522765E-12i        1.4289082610731056                                464                                               1.9349343515694115E7
35                                                1.4416625283548903                                1.4416625283548903                                464                                               1.9522053482911248E7
35                                                1.443804418802263-5.270188264027448E-16i          1.443804418802263                                 464                                               1.9551057566076163E7
36                                                1.410049069443357-5.269189845190922E-7i           1.410049069443357                                 468.4                                             1.8914602039984517E7
36                                                1.4260155963322627-9.20041280949418E-15i          1.4260155963322627                                468.4                                             1.9128779339632384E7
36                                                1.4279914265608877-1.2451854219611348E-12i        1.4279914265608877                                468.4                                             1.915528341192525E7
36                                                1.4409526195965368                                1.4409526195965368                                468.4                                             1.932914672884478E7
36                                                1.4431504508411948-6.528632997004087E-16i         1.4431504508411948                                468.4                                             1.935862875485694E7
37                                                1.4089233992835621-5.857197087894439E-7i          1.4089233992835621                                472.8                                             1.8723618446108278E7
37                                                1.4250482857031357-1.0511720567037062E-14i        1.4250482857031357                                472.8                                             1.893790704473646E7
37                                                1.427078740277742-1.4260034152438867E-12i         1.427078740277742                                 472.8                                             1.8964890383040313E7
37                                                1.4402477914689398                                1.4402477914689398                                472.8                                             1.913989797389063E7
37                                                1.442502417957309-6.862637459586926E-16i          1.442502417957309                                 472.8                                             1.916986040203128E7
38                                                1.4078037489334672-6.494820708886242E-7i          1.4078037489334672                                477.2                                             1.8536236024080258E7
38                                                1.42408397166246-1.1815920403746264E-14i          1.42408397166246                                  477.2                                             1.875059406315909E7
38                                                1.4261700230744974-1.6318149689504317E-12i        1.4261700230744974                                477.2                                             1.8778060633951493E7
