% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 8 2024, 10:34
% Table:              Table 1 - Global Evaluation 2
% daddy (m)                                       Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
4.6600000000000007E-7                             1.4928150978245318                                -2.0127969718856122E7i                            1.4928150978245318                                6.433314549356222E14
4.6600000000000007E-7                             1.4928299267529974                                -2.0128169660713326E7i                            1.4928299267529974                                6.433314549356222E14
4.6600000000000007E-7                             1.493185556302404                                 -2.013296469581983E7i                             1.493185556302404                                 6.433314549356222E14
4.6600000000000007E-7                             1.4932049144595718                                -2.013322570631058E7i                             1.4932049144595718                                6.433314549356222E14
4.68E-7                                           1.492187244334327-1.596320320467749E-15i          -2.14315734681948E-8-2.003352343838085E7i         1.492187244334327                                 6.405821752136752E14
4.68E-7                                           1.4928027684709702                                -2.0041787225157708E7i                            1.4928027684709702                                6.405821752136752E14
4.68E-7                                           1.4928177822935118                                -2.004198879487822E7i                             1.4928177822935118                                6.405821752136752E14
4.68E-7                                           1.493176380724228                                 -2.0046803197423205E7i                            1.493176380724228                                 6.405821752136752E14
4.68E-7                                           1.4931959819338527                                -2.0047066355611917E7i                            1.4931959819338527                                6.405821752136752E14
4.7000000000000005E-7                             1.492169669990016+1.9000699088144215E-15i         2.540104539080176E-8-1.994803946021336E7i         1.492169669990016                                 6.378562936170212E14
4.7000000000000005E-7                             1.4927903868655663                                -1.9956337500963096E7i                            1.4927903868655663                                6.378562936170212E14
4.7000000000000005E-7                             1.492805587317037                                 -1.99565407078851E7i                              1.492805587317037                                 6.378562936170212E14
4.7000000000000005E-7                             1.4931671659951582                                -1.996137446498672E7i                             1.4931671659951582                                6.378562936170212E14
4.7000000000000005E-7                             1.4931870124824913                                -1.996163978234334E7i                             1.4931870124824913                                6.378562936170212E14
4.7200000000000004E-7                             1.4921520238571666-6.589581715898694E-15i         -8.771941317329219E-8-1.986327896690176E7i        1.4921520238571666                                6.351535127118644E14
4.7200000000000004E-7                             1.492777954517435                                 -1.987161125149479E7i                             1.492777954517435                                 6.351535127118644E14
4.7200000000000004E-7                             1.492793343243727                                 -1.9871816103653554E7i                            1.492793343243727                                 6.351535127118644E14
4.7200000000000004E-7                             1.4931579136197894                                -1.9876669203717764E7i                            1.4931579136197894                                6.351535127118644E14
4.7200000000000004E-7                             1.4931780075229744                                -1.9876936690406866E7i                            1.4931780075229744                                6.351535127118644E14
4.7400000000000004E-7                             1.492134306063806-1.706180669210075E-15i          -2.261655973032611E-8-1.9779232802106988E7i       1.492134306063806                                 6.324735400843881E14
4.7400000000000004E-7                             1.4927654715523702                                -1.9787599320512358E7i                            1.4927654715523702                                6.324735400843881E14
4.7400000000000004E-7                             1.4927810501997774                                -1.9787805825846735E7i                            1.4927810501997774                                6.324735400843881E14
4.7400000000000004E-7                             1.4931486237206126                                -1.979267825737716E7i                             1.4931486237206126                                6.324735400843881E14
4.7400000000000004E-7                             1.4931689671801696                                -1.9792947923466157E7i                            1.4931689671801696                                6.324735400843881E14
4.7600000000000003E-7                             1.4921165178045557-4.1832604075002613E-16i        -5.5218908253175895E-9-1.969589197745704E7i       1.4921165178045557                                6.298160882352941E14
4.7600000000000003E-7                             1.4927529392358976                                -1.970429272070616E7i                             1.4927529392358976                                6.298160882352941E14
4.7600000000000003E-7                             1.4927687093760016-1.8988259184101606E-16i        -2.5064443511442232E-9-1.970450088606875E7i       1.4927687093760016                                6.298160882352941E14
4.7600000000000003E-7                             1.4931392975588051                                -1.9709392638642713E7i                            1.4931392975588051                                6.298160882352941E14
4.7600000000000003E-7                             1.4931598926424121                                -1.9709664493110612E7i                            1.4931598926424121                                6.298160882352941E14
4.78E-7                                           1.4920986563843415+4.5409496823835115E-15i        5.968959900626336E-8-1.961324760388388E7i         1.4920986563843415                                6.271808744769874E14
4.78E-7                                           1.4927403546775728                                -1.9621682560552653E7i                            1.4927403546775728                                6.271808744769874E14
4.78E-7                                           1.4927563180805898                                -1.962189239532104E7i                             1.4927563180805898                                6.271808744769874E14
4.78E-7                                           1.4931299322433647                                -1.9626803456028365E7i                            1.4931299322433647                                6.271808744769874E14
4.78E-7                                           1.4931507812195983                                -1.9627077510382216E7i                            1.4931507812195983                                6.271808744769874E14
4.800000000000001E-7                              1.4920807232132207+1.2858575079651354E-14i        1.6831835419110614E-7-1.9531290994206663E7i       1.4920807232132207                                6.245676208333332E14
4.800000000000001E-7                              1.4927277193726627                                -1.9539760154129177E7i                            1.4927277193726627                                6.245676208333332E14
4.800000000000001E-7                              1.492743877719458                                 -1.953997166639412E7i                             1.492743877719458                                 6.245676208333332E14
4.800000000000001E-7                              1.4931205292650227                                -1.9544902023596242E7i                            1.4931205292650227                                6.245676208333332E14
